car,car_model,car_model_year,vin,color,country
Lexus,GS,2008,SCBCP73W89C763593,Teal,China
Toyota,Sequoia,2003,1FMCU5K3XAK271944,Violet,Thailand
Saab,9-4X,2011,WVGEF9BP9ED925231,Violet,Portugal
Saab,900,1988,4T1BF1FKXEU820328,Maroon,Portugal
Hyundai,Tucson,2006,19UUA66295A981037,Yellow,Canada
Cadillac,Seville,2000,WBSBL93463J208135,Pink,China
Pontiac,Sunbird,1988,3N1AB6AP1CL047884,Orange,Portugal
Mazda,Mazda3,2010,2T1BU4EE4CC831648,Goldenrod,China
Nissan,370Z,2012,WAUVT68E43A395425,Red,Democratic Republic of the Congo
Audi,A6,2000,WAUVC58E45A229600,Fuscia,Russia
Oldsmobile,88,1997,KL4CJFSB0DB173226,Aquamarine,Russia
Ford,Explorer,2007,SAJWA1CB4BL524734,Red,Mongolia
Toyota,4Runner,2010,2FMDK3AC7AB640625,Aquamarine,Japan
Subaru,XT,1986,5TDDCRFH3FS998127,Violet,China
Chevrolet,Caprice Classic,1995,1G4HP54K714140642,Khaki,Philippines
Ford,E250,2004,19XFA1F35AE507743,Blue,China
Audi,A6,2008,1GYS3GEF0CR967482,Maroon,Papua New Guinea
Cadillac,DTS,2011,3VWJX7AJXAM439637,Purple,Sweden
Lamborghini,Murciélago,2005,WAUMGAFL2DA881480,Violet,Indonesia
Plymouth,Voyager,1998,WAUGL78E98A122700,Blue,Indonesia
Mazda,RX-7,1985,WA1CGBFE4CD608182,Red,China
Nissan,Pathfinder,2007,WAUVC68EX4A648703,Mauv,Thailand
Dodge,Grand Caravan,2000,1C3CDWEA7CD820079,Yellow,Ukraine
Porsche,Cayenne,2006,KMHHT6KD4DU292338,Purple,Russia
Aston Martin,Vanquish S,2006,3C6TD5KT7CG424479,Purple,Morocco
